may 29th

hypernetwork code results in output shape of (32,32,3).

Therfore 1st and the last cnn layer does not include hypernetwork.

Name                                          | Label      |        PC1 |        PC2
--------------------------------------------------------------------------------
zs_unetblocks.0.z_list.0                      | unetblock  |    1.46228 |   -0.36323
zs_unetblocks.1.z_list.0                      | unetblock  |   -0.54638 |    0.08602
zs_unetblocks.1.z_list.1                      | unetblock  |    0.21309 |    1.77716
zs_unetblocks.2.z_list.0                      | unetblock  |    0.83233 |   -0.04413
zs_unetblocks.2.z_list.1                      | unetblock  |    1.60537 |   -0.99844
zs_unetblocks.2.z_list.2                      | unetblock  |   -1.02555 |    0.25543
zs_unetblocks.2.z_list.3                      | unetblock  |   -1.10948 |    0.02590
zs_unetblocks.3.z_list.0                      | unetblock  |   -0.24574 |    0.19800
zs_unetblocks.3.z_list.1                      | unetblock  |   -1.51684 |    0.49174
zs_unetblocks.3.z_list.2                      | unetblock  |   -1.41633 |   -0.79305
zs_unetblocks.3.z_list.3                      | unetblock  |   -0.57874 |    0.71410
zs_unetblocks.3.z_list.4                      | unetblock  |    0.08917 |    0.18946
zs_unetblocks.3.z_list.5                      | unetblock  |   -1.11662 |   -0.84261
zs_unetblocks.3.z_list.6                      | unetblock  |    0.94785 |    1.24183
zs_unetblocks.3.z_list.7                      | unetblock  |    0.73086 |    0.37650
zs_unetblocks.4.z_list.0                      | unetblock  |   -0.25719 |   -2.12609
zs_unetblocks.4.z_list.1                      | unetblock  |    1.23571 |    1.06750
zs_unetblocks.4.z_list.2                      | unetblock  |   -0.90633 |   -0.47887
zs_unetblocks.4.z_list.3                      | unetblock  |    0.34443 |    1.59730
zs_unetblocks.4.z_list.4                      | unetblock  |    0.31605 |    0.38741
zs_unetblocks.4.z_list.5                      | unetblock  |   -1.06364 |    0.37079
zs_unetblocks.4.z_list.6                      | unetblock  |   -0.39912 |   -0.06532
zs_unetblocks.4.z_list.7                      | unetblock  |   -1.36815 |   -1.13641
zs_unetblocks.4.z_list.8                      | unetblock  |    0.77874 |   -0.62782
zs_unetblocks.4.z_list.9                      | unetblock  |   -2.38245 |    0.66582
zs_unetblocks.4.z_list.10                     | unetblock  |   -0.69814 |   -2.89610
zs_unetblocks.4.z_list.11                     | unetblock  |   -0.32687 |    2.55396
zs_unetblocks.4.z_list.12                     | unetblock  |   -1.17453 |   -0.35244
zs_unetblocks.4.z_list.13                     | unetblock  |    0.47752 |   -0.25873
zs_unetblocks.4.z_list.14                     | unetblock  |    0.10343 |   -0.20220
zs_unetblocks.4.z_list.15                     | unetblock  |   -0.70332 |    0.14422
zs_unetblocks.5.z_list.0                      | unetblock  |    0.97224 |   -0.51646
zs_unetblocks.5.z_list.1                      | unetblock  |   -0.16882 |    0.67693
zs_unetblocks.5.z_list.2                      | unetblock  |    0.19776 |    0.10949
zs_unetblocks.5.z_list.3                      | unetblock  |    2.53550 |   -0.12194
zs_unetblocks.5.z_list.4                      | unetblock  |   -0.19035 |   -0.69830
zs_unetblocks.5.z_list.5                      | unetblock  |    1.35545 |    0.85783
zs_unetblocks.5.z_list.6                      | unetblock  |   -0.73969 |   -1.45405
zs_unetblocks.5.z_list.7                      | unetblock  |    1.14541 |   -1.85700
zs_unetblocks.5.z_list.8                      | unetblock  |    0.59879 |   -0.89637
zs_unetblocks.5.z_list.9                      | unetblock  |    0.46284 |   -0.09596
zs_unetblocks.5.z_list.10                     | unetblock  |   -0.65969 |    0.09494
zs_unetblocks.5.z_list.11                     | unetblock  |    0.64812 |   -0.28804
zs_unetblocks.5.z_list.12                     | unetblock  |   -0.83443 |   -1.96582
zs_unetblocks.5.z_list.13                     | unetblock  |    0.02781 |   -1.06084
zs_unetblocks.5.z_list.14                     | unetblock  |   -0.84000 |   -1.69163
zs_unetblocks.5.z_list.15                     | unetblock  |   -0.13955 |   -0.06524
zs_unetblocks.5.z_list.16                     | unetblock  |   -1.04319 |   -2.46120
zs_unetblocks.5.z_list.17                     | unetblock  |   -0.96892 |    1.12638
zs_unetblocks.5.z_list.18                     | unetblock  |    0.78322 |    0.72162
zs_unetblocks.5.z_list.19                     | unetblock  |    0.23510 |    0.15178
zs_unetblocks.5.z_list.20                     | unetblock  |   -1.61597 |   -1.50540
zs_unetblocks.5.z_list.21                     | unetblock  |   -0.77893 |    0.73041
zs_unetblocks.5.z_list.22                     | unetblock  |   -0.99069 |   -0.27378
zs_unetblocks.5.z_list.23                     | unetblock  |   -0.09690 |   -0.11499
zs_unetblocks.5.z_list.24                     | unetblock  |   -0.90315 |   -0.65787
zs_unetblocks.5.z_list.25                     | unetblock  |    0.96440 |   -1.21871
zs_unetblocks.5.z_list.26                     | unetblock  |   -1.84971 |    0.84381
zs_unetblocks.5.z_list.27                     | unetblock  |   -0.60872 |   -0.07329
zs_unetblocks.5.z_list.28                     | unetblock  |   -0.13695 |    0.96942
zs_unetblocks.5.z_list.29                     | unetblock  |    1.07314 |    0.57819
zs_unetblocks.5.z_list.30                     | unetblock  |    1.65468 |   -1.32188
zs_unetblocks.5.z_list.31                     | unetblock  |    0.76910 |   -1.14124
zs_unetblocks.6.z_list.0                      | unetblock  |    0.47912 |    2.08400
zs_unetblocks.6.z_list.1                      | unetblock  |   -0.24790 |    1.56760
zs_unetblocks.6.z_list.2                      | unetblock  |    0.27684 |   -1.30460
zs_unetblocks.6.z_list.3                      | unetblock  |    1.66038 |   -0.55169
zs_unetblocks.6.z_list.4                      | unetblock  |   -1.15434 |   -0.92126
zs_unetblocks.6.z_list.5                      | unetblock  |    0.39700 |   -0.02779
zs_unetblocks.6.z_list.6                      | unetblock  |   -0.73544 |    0.22545
zs_unetblocks.6.z_list.7                      | unetblock  |   -0.47037 |    1.55978
zs_unetblocks.6.z_list.8                      | unetblock  |   -1.16818 |   -0.21596
zs_unetblocks.6.z_list.9                      | unetblock  |    0.15854 |    0.36646
zs_unetblocks.6.z_list.10                     | unetblock  |    0.57083 |    0.36901
zs_unetblocks.6.z_list.11                     | unetblock  |   -1.89235 |    1.57225
zs_unetblocks.6.z_list.12                     | unetblock  |   -0.30312 |   -1.93727
zs_unetblocks.6.z_list.13                     | unetblock  |   -0.48912 |    0.99225
zs_unetblocks.6.z_list.14                     | unetblock  |    0.32257 |   -1.45333
zs_unetblocks.6.z_list.15                     | unetblock  |   -0.61933 |    0.34298
zs_unetblocks.6.z_list.16                     | unetblock  |    1.32832 |   -1.05658
zs_unetblocks.6.z_list.17                     | unetblock  |   -0.20321 |   -1.72457
zs_unetblocks.6.z_list.18                     | unetblock  |   -0.89269 |    0.74911
zs_unetblocks.6.z_list.19                     | unetblock  |    0.85002 |   -1.39638
zs_unetblocks.6.z_list.20                     | unetblock  |    0.61995 |    0.98124
zs_unetblocks.6.z_list.21                     | unetblock  |   -1.29506 |    0.72207
zs_unetblocks.6.z_list.22                     | unetblock  |   -0.49177 |   -1.35830
zs_unetblocks.6.z_list.23                     | unetblock  |    0.37155 |   -0.21245
zs_unetblocks.6.z_list.24                     | unetblock  |    0.85605 |    0.62720
zs_unetblocks.6.z_list.25                     | unetblock  |   -1.73915 |   -0.22919
zs_unetblocks.6.z_list.26                     | unetblock  |   -1.30190 |    0.60394
zs_unetblocks.6.z_list.27                     | unetblock  |    1.36749 |   -0.48748
zs_unetblocks.6.z_list.28                     | unetblock  |    1.13161 |   -1.36752
zs_unetblocks.6.z_list.29                     | unetblock  |   -0.17783 |   -1.81553
zs_unetblocks.6.z_list.30                     | unetblock  |   -0.30211 |    0.30700
zs_unetblocks.6.z_list.31                     | unetblock  |   -1.37825 |    2.39881
zs_unetblocks.6.z_list.32                     | unetblock  |   -0.76313 |   -1.19536
zs_unetblocks.6.z_list.33                     | unetblock  |   -1.11544 |    0.88116
zs_unetblocks.6.z_list.34                     | unetblock  |    2.33165 |   -0.58891
zs_unetblocks.6.z_list.35                     | unetblock  |    0.72951 |   -1.58870
zs_unetblocks.6.z_list.36                     | unetblock  |    0.88233 |    1.64944
zs_unetblocks.6.z_list.37                     | unetblock  |   -0.69325 |   -0.84311
zs_unetblocks.6.z_list.38                     | unetblock  |    0.90626 |    0.92666
zs_unetblocks.6.z_list.39                     | unetblock  |    0.74941 |   -0.12793
zs_unetblocks.6.z_list.40                     | unetblock  |   -0.55190 |    0.24588
zs_unetblocks.6.z_list.41                     | unetblock  |   -0.27698 |   -2.53045
zs_unetblocks.6.z_list.42                     | unetblock  |    0.67410 |   -1.38404
zs_unetblocks.6.z_list.43                     | unetblock  |   -2.30976 |    2.52755
zs_unetblocks.6.z_list.44                     | unetblock  |    0.65660 |   -1.17314
zs_unetblocks.6.z_list.45                     | unetblock  |   -0.99946 |   -2.50554
zs_unetblocks.6.z_list.46                     | unetblock  |   -1.88129 |    0.84836
zs_unetblocks.6.z_list.47                     | unetblock  |   -0.48170 |    0.32401
zs_unetblocks.6.z_list.48                     | unetblock  |    1.14051 |    0.69341
zs_unetblocks.6.z_list.49                     | unetblock  |    2.02281 |    1.05005
